[09/05/20 10:47:55] [INFO] received Windows console close event; shutting log-core down
[09/05/20 10:48:00] [INFO] received Windows console close event; shutting log-core down
[09/05/20 10:48:51] [INFO] received Windows console close event; shutting log-core down
[09/05/20 10:50:16] [INFO] received Windows console close event; shutting log-core down
[09/05/20 10:51:33] [INFO] received Windows console close event; shutting log-core down
[09/05/20 10:52:43] [INFO] received Windows console close event; shutting log-core down
[09/05/20 10:54:02] [INFO] received Windows console close event; shutting log-core down
[09/05/20 10:55:12] [INFO] received Windows console close event; shutting log-core down
[09/05/20 10:56:14] [INFO] received Windows console close event; shutting log-core down
[09/05/20 10:59:07] [INFO] received Windows console close event; shutting log-core down
[09/05/20 10:59:56] [INFO] received Windows console close event; shutting log-core down
[09/05/20 11:10:05] [INFO] received Windows console close event; shutting log-core down
[09/05/20 11:12:33] [INFO] received Windows console close event; shutting log-core down
[09/05/20 11:30:03] [INFO] received Windows console close event; shutting log-core down
[09/05/20 11:32:02] [INFO] received Windows console close event; shutting log-core down
[09/05/20 11:38:31] [INFO] received Windows console close event; shutting log-core down
[09/05/20 11:38:39] [INFO] received Windows console close event; shutting log-core down
[09/05/20 11:41:00] [INFO] received Windows console close event; shutting log-core down
[09/05/20 11:47:23] [INFO] received Windows console close event; shutting log-core down
[09/05/20 11:56:42] [INFO] received Windows console close event; shutting log-core down
[09/05/20 11:57:37] [INFO] received Windows console close event; shutting log-core down
[09/05/20 12:07:28] [INFO] received Windows console close event; shutting log-core down
[09/05/20 12:15:21] [INFO] received Windows console close event; shutting log-core down
[09/05/20 12:19:18] [INFO] received Windows console close event; shutting log-core down
[09/05/20 12:20:06] [INFO] received Windows console close event; shutting log-core down
[09/05/20 12:22:41] [INFO] received Windows console close event; shutting log-core down
[09/05/20 12:23:29] [INFO] received Windows console close event; shutting log-core down
[09/05/20 12:24:58] [INFO] received Windows console close event; shutting log-core down
[09/05/20 12:28:09] [INFO] received Windows console close event; shutting log-core down
[09/05/20 12:31:06] [INFO] received Windows console close event; shutting log-core down
[09/05/20 12:32:15] [INFO] received Windows console close event; shutting log-core down
[09/05/20 12:33:29] [INFO] received Windows console close event; shutting log-core down
[09/05/20 12:40:12] [INFO] received Windows console close event; shutting log-core down
[09/05/20 12:46:52] [INFO] received Windows console close event; shutting log-core down
[09/05/20 12:47:10] [INFO] received Windows console close event; shutting log-core down
[09/05/20 12:47:26] [INFO] received Windows console close event; shutting log-core down
[09/05/20 12:49:16] [INFO] received Windows console close event; shutting log-core down
[09/05/20 12:51:42] [INFO] received Windows console close event; shutting log-core down
[09/05/20 12:54:44] [INFO] received Windows console close event; shutting log-core down
[09/05/20 13:14:53] [INFO] received Windows console close event; shutting log-core down
[09/05/20 13:20:44] [INFO] received Windows console close event; shutting log-core down
[09/05/20 13:25:28] [INFO] received Windows console close event; shutting log-core down
[09/05/20 13:28:11] [INFO] received Windows console close event; shutting log-core down
[09/05/20 18:35:05] [INFO] received Windows console close event; shutting log-core down
[09/05/20 18:35:25] [INFO] received Windows console close event; shutting log-core down
[09/05/20 18:35:46] [INFO] received Windows console close event; shutting log-core down
[09/05/20 18:36:02] [INFO] received Windows console close event; shutting log-core down
[09/05/20 18:47:20] [INFO] received Windows console close event; shutting log-core down
[09/05/20 18:50:14] [INFO] received Windows console close event; shutting log-core down
[09/05/20 18:50:30] [INFO] received Windows console close event; shutting log-core down
[09/05/20 18:50:45] [INFO] received Windows console close event; shutting log-core down
[09/05/20 18:55:37] [INFO] received Windows console close event; shutting log-core down
[09/05/20 18:58:27] [INFO] received Windows console close event; shutting log-core down
[09/05/20 19:00:12] [INFO] received Windows console close event; shutting log-core down
[09/05/20 19:04:20] [INFO] received Windows console close event; shutting log-core down
[09/05/20 19:08:12] [INFO] received Windows console close event; shutting log-core down
[09/05/20 19:13:50] [INFO] received Windows console close event; shutting log-core down
[09/05/20 19:16:09] [INFO] received Windows console close event; shutting log-core down
[09/05/20 19:17:53] [INFO] received Windows console close event; shutting log-core down
[09/05/20 19:19:35] [INFO] received Windows console close event; shutting log-core down
[09/05/20 19:21:32] [INFO] received Windows console close event; shutting log-core down
[09/05/20 19:23:50] [INFO] received Windows console close event; shutting log-core down
[09/05/20 19:24:35] [INFO] received Windows console close event; shutting log-core down
[09/05/20 19:30:01] [INFO] received Windows console close event; shutting log-core down
[09/05/20 19:34:52] [INFO] received Windows console close event; shutting log-core down
[09/05/20 19:36:47] [INFO] received Windows console close event; shutting log-core down
[09/05/20 19:48:24] [INFO] received Windows console close event; shutting log-core down
[09/05/20 19:51:20] [INFO] received Windows console close event; shutting log-core down
[09/05/20 19:54:16] [INFO] received Windows console close event; shutting log-core down
[09/05/20 21:30:17] [INFO] received Windows console close event; shutting log-core down
[09/05/20 21:31:21] [INFO] received Windows console close event; shutting log-core down
[09/05/20 21:41:11] [INFO] received Windows console close event; shutting log-core down
[09/05/20 21:53:01] [INFO] received Windows console close event; shutting log-core down
[09/05/20 21:58:06] [INFO] received Windows console close event; shutting log-core down
[09/05/20 22:06:00] [INFO] received Windows console close event; shutting log-core down
[09/05/20 22:06:13] [INFO] received Windows console close event; shutting log-core down
[09/05/20 22:13:57] [INFO] received Windows console close event; shutting log-core down
[09/05/20 22:28:47] [INFO] received Windows console close event; shutting log-core down
[09/05/20 22:29:27] [INFO] received Windows console close event; shutting log-core down
[09/05/20 22:32:44] [INFO] received Windows console close event; shutting log-core down
[09/05/20 22:35:21] [INFO] received Windows console close event; shutting log-core down
[09/06/20 09:09:17] [INFO] received Windows console close event; shutting log-core down
[09/06/20 09:09:45] [INFO] received Windows console close event; shutting log-core down
